Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Computation Theory","2009","February","4","26"
"ACM Transactions on Computation Theory","2009","September","3","6"
"ACM Transactions on Computation Theory","2010","March","3","4"
"ACM Transactions on Computation Theory","2010","November","2","5"
"ACM Transactions on Computation Theory","2011","August","3","0"
"ACM Transactions on Computation Theory","2011","March","3","2"
"ACM Transactions on Computation Theory","2012","January","3","0"
"ACM Transactions on Computation Theory","2012","March","3","0"
"ACM Transactions on Computation Theory","2012","May","3","7"
"ACM Transactions on Computation Theory","2012","November","4","2"
"ACM Transactions on Computation Theory","2012","September","2","0"
"ACM Transactions on Computation Theory","2013","August","5","0"
"ACM Transactions on Computation Theory","2013","July","4","1"
"ACM Transactions on Computation Theory","2013","May","3","13"
"ACM Transactions on Computation Theory","2013","November","6","0"
"ACM Transactions on Computation Theory","2014","August","3","0"
"ACM Transactions on Computation Theory","2014","December","4","0"
"ACM Transactions on Computation Theory","2014","July","5","0"
"ACM Transactions on Computation Theory","2014","March","5","0"
"ACM Transactions on Computation Theory","2014","May","4","0"
"ACM Transactions on Computation Theory","2015","July","4","0"
"ACM Transactions on Computation Theory","2015","May","5","0"
"ACM Transactions on Computation Theory","2015","September","4","0"
"ACM Transactions on Computation Theory","2016","February","4","0"
