Journal name,Acr,Self citation,Total Citation,NLIQ,ICR ,OCQ,SNIP,JIMI
ACM Computing Surveys,CSUR,1061,42584,0.978065058,0.111912345,0.975084539,1.714732143,0.8327
Journal of the ACM,JACM,2557,76859,0.957480581,0.127776048,0.966731287,0.77914916,0.7676
Journal of Data and Information Quality,JDIQ,17,152,0.828947368,0.11281362,0.888157895,0.17192691,0.5842
Journal of Experimental Algorithmics,JEA,194,1164,0.899484536,0.158180428,0.833333333,0.200091575,0.6455
ACM Journal on Emerging Technologies in Computing Systems,JETC,143,624,0.802884615,0.113921958,0.770833333,0.193277311,0.5705
Journal on Computing and Cultural Heritage,JOCCH,50,248,0.778225807,0.145179122,0.798387097,0.217436975,0.5807
ACM Transactions on Autonomous and Adaptive Systems,TAAS,221,1205,0.931950208,0.178694777,0.81659751,0.365079365,0.7099
ACM Transactions on Accessible Computing,TACCESS,50,395,0.850632911,0.114253827,0.873417722,0.410714286,0.6488
ACM Transactions on Architecture and Code Optimization,TACO,196,1513,0.897554527,0.152703506,0.870456048,0.563442211,0.7155
ACM Transactions on Algorithms,TALG,494,2743,0.949417758,0.223540628,0.819905213,0.501984127,0.7596
ACM Transactions on Asian and Low-Resource Language Information Processing,TALLIP,163,985,1,0.134649015,0.834517766,0.147237197,0.6635
ACM Transactions on Applied Perception,TAP,154,1239,0.897497982,0.150228311,0.875706215,0.238658301,0.6559
ACM Transactions on Economics and Computation,TEAC,28,77,1,0.156191494,0.636363636,0.445918367,0.7323
ACM Transactions on Embedded Computing Systems,TECS,494,3721,0.93173878,0.161902608,0.867239989,0.329474097,0.6999
ACM Transactions on Interactive Intelligent Systems,TIIS,77,288,1,0.175481088,0.732638889,0.491612541,0.7587
ACM Transactions on Information and System Security,TISSEC,425,7370,0.960922659,0.135490831,0.942333786,0.447222222,0.7304
ACM Transactions on Intelligent Systems and Technology,TIST,223,1796,0.968651212,0.166708414,0.875835189,0.763581489,0.7853
ACM Transactions on Knowledge Discovery from Data,TKDD,192,1885,0.973977695,0.148007246,0.898143236,0.427478134,0.737
ACM Transactions on Management Information Systems,TMIS,17,227,0.643171806,0.166819292,0.925110132,0.329918033,0.5451
ACM Transactions on Computing Education,TOCE,131,1418,0.903385049,0.116099667,0.907616361,1.023720682,0.7454
ACM Transactions on Computer-Human Interaction,TOCHI,678,10231,0.96236927,0.157602274,0.933730818,1.372959184,0.8296
ACM Transactions on Computer Systems,TOCS,512,19597,0.973618411,0.117496037,0.973873552,0.995462185,0.7898
ACM Transactions on Computation Theory,TOCT,24,102,0.931372549,0.135580524,0.764705882,0.213255495,0.6499
ACM Transactions on Design Automation of Electronic Systems,TODAES,505,3875,0.904258065,0.149175941,0.869677419,0.33106685,0.6803
ACM Transactions on Database Systems,TODS,1359,28282,0.930026165,0.158615901,0.951948236,0.386267007,0.7154
ACM Transactions on Graphics,TOG,5341,67004,0.730150439,0.098538933,0.920288341,2.08998227,0.6794
ACM Transactions on Information Systems,TOIS,952,18273,0.963826411,0.143728535,0.947901275,0.653672032,0.7652
ACM Transactions on Internet Technology,TOIT,253,3190,0.976175549,0.159997539,0.920689655,0.314453125,0.7232
ACM Transactions on Modelling and Computer Simulations,TOMACS,371,4099,0.903147109,0.162735384,0.90949012,0.294747899,0.6808
ACM Transactions on Mathematical Software,TOMM,264,2286,0.961942257,0.173798956,0.884514436,0.518673469,0.7557
IEEE/ACM Transactions on Networking,TON,1387,34381,0.899392106,0.199768106,0.959657951,0.416581633,0.7211
ACM Transactions on Storage,TOPC,3,11,1,0.094494048,0.727272727,0.141183036,0.6291
ACM Transactions on Programming Languages and Systems,TOPLAS,1432,28408,0.953534216,0.142831748,0.949591664,0.653409091,0.7591
ACM Transactions on Storage,TOS,101,1194,0.886934673,0.123622816,0.915410385,0.525714286,0.6934
ACM Transactions on Software Engineering and Methodology,TOSEM,768,3860,0.963769752,0.161261497,0.801036269,0.905092593,0.7863
ACM Transactions on Sensor Networks,TOSN,210,2805,0.901247772,0.175549205,0.92513369,0.484967716,0.7211
ACM Transactions on Spatial Algorithms and Systems,TSAS,1,1,1,0.7,0,0.051339286,0
ACM Transactions on the Web,TWEB,188,1774,0.967305524,0.161108882,0.894024803,0.499175824,0.7509
